nm,var1,var2
660,0000;3226,5602
661,0000;3181,8056
662,0000;3141,1485
663,0000;3104,5702
664,0000;3070,5926
665,0000;3037,1951
666,0000;3004,3588
667,0000;2972,839
668,0000;2940,3889
669,0000;2909,2553
670,0000;2878,6829
671,0000;2848,6719
672,0000;2819,2409
673,0000;2789,9970
674,0000;2759,4995
675,0000;2727,5987
676,0000;2694,2947
677,0000;2659,6248
678,0000;2623,5330
679,0000;2586,567
680,0000;2547,1957
681,0000;2506,9316
682,0000;2465,2080
683,0000;2421,9315
684,0000;2377,1020
685,0000;2330,7196
686,0000;2282,8030
687,0000;2233,3148
688,0000;2182,2736
689,0000;2131,3633
690,0000;2084,5693
691,0000;2042,786
692,0000;2003,8726
693,0000;1969,9698
694,0000;1940,3517
695,0000;1914,1950
696,0000;1889,4789
697,0000;1866,1099
698,0000;1844,507
699,0000;1823,3386
700,0000;1803,9736
701,0000;1785,8810
702,0000;1767,3205
703,0000;1747,4129
704,0000;1726,1208
705,0000;1703,4629
706,0000;1679,4204
707,0000;1654,307
708,0000;1627,7804
709,0000;1602,7837
710,0000;1579,2464
711,0000;1557,1497
712,0000;1536,5125
713,0000;1517,3159
714,0000;1498,9800
715,0000;1479,1660
716,0000;1457,5745
717,0000;1434,2242
718,0000;1409,1340
719,0000;1382,2662
720,0000;1353,6398
721,0000;1325,3314
722,0000;1299,1372
723,0000;1275,198
724,0000;1253,167
725,0000;1233,1279
726,0000;1215,3158
727,0000;1199,6181
728,0000;1184,3319
729,0000;1167,2121
730,0000;1148,2775
731,0000;1127,4905
732,0000;1104,8700
733,0000;1081,6133
734,0000;1066,1962
735,0000;1060,3212
736,0000;1063,9697
737,0000;1075,2332
738,0000;1086,8709
739,0000;1098,2466
740,0000;1110,1276
741,0000;1132,1494
742,0000;1167,999
743,0000;1214,9604
744,0000;1263,8686
745,0000;1304,5631
746,0000;1337,439
747,0000;1363,5935
748,0000;1389,2077
749,0000;1414,734
750,0000;1438,1721
751,0000;1461,7094
752,0000;1484,8913
753,0000;1507,7550
754,0000;1530,2633
755,0000;1550,8257
756,0000;1562,2950
757,0000;1563,7731
758,0000;1555,3161
759,0000;1539,9738
760,0000;1525,3238
761,0000;1511,6841
762,0000;1499,922
763,0000;1487,3423
764,0000;1474,5258
765,0000;1460,1003
766,0000;1444,1032
767,0000;1426,5344
768,0000;1407,3565
769,0000;1386,6444
770,0000;1364,8097
771,0000;1341,9646
772,0000;1318,905
773,0000;1293,2248
774,0000;1267,3487
775,0000;1240,4622
776,0000;1212,6964
777,0000;1184,3506
778,0000;1155,3873
779,0000;1125,8628
780,0000;1095,7208
781,0000;1065,175
782,0000;1034,9690
783,0000;1008,4568
784,0000;985,5369
785,0000;966,2280
786,0000;950,5302
787,0000;938,4435
788,0000;929,8555
789,0000;921,6418
790,0000;912,3803
791,0000;902,523
792,0000;890,6766
793,0000;878,2343
794,0000;864,7443
795,0000;850,1879
796,0000;834,5836
797,0000;818,9607
798,0000;804,3668
799,0000;790,7832
800,0000;778,2100
801,0000;766,6659
802,0000;756,1134
803,0000;746,5899
804,0000;738,768
805,0000;730,5741
806,0000;723,9694
807,0000;717,9447
808,0000;712,4439
809,0000;707,5232
810,0000;703,1450
811,0000;699,3094
812,0000;696,352
813,0000;693,3035
814,0000;691,1331
815,0000;689,4679
816,0000;688,1021
817,0000;686,9795
818,0000;686,814
819,0000;685,4265
820,0000;685,149
821,0000;684,8278
822,0000;684,8652
823,0000;685,710
824,0000;685,2581
825,0000;685,3891
826,0000;685,5014
827,0000;685,5575
828,0000;685,5762
829,0000;685,5575
830,0000;685,5014
831,0000;685,4265
832,0000;685,3704
833,0000;685,3517
834,0000;685,3704
835,0000;685,4265
836,0000;685,5014
837,0000;685,6323
838,0000;685,7820
839,0000;685,9691
840,0000;686,1937
841,0000;686,4556
842,0000;686,7175
843,0000;686,8298
844,0000;686,7924
845,0000;686,5866
846,0000;686,2311
847,0000;685,7072
848,0000;685,336
849,0000;684,1917
850,0000;683,2000
851,0000;682,400
852,0000;680,7303
853,0000;679,2709
854,0000;677,6431
855,0000;675,8470
856,0000;673,9385
857,0000;672,2546
858,0000;670,8888
859,0000;669,8223
860,0000;669,739
861,0000;668,6248
862,0000;668,4752
863,0000;668,6436
864,0000;669,1300
865,0000;669,9158
866,0000;671,197
867,0000;672,4230
868,0000;674,1443
869,0000;676,1463
870,0000;678,4290
871,0000;680,9548
872,0000;683,7613
873,0000;686,8298
874,0000;690,1602
875,0000;693,7338
876,0000;697,5881
877,0000;701,7043
878,0000;705,9141
879,0000;710,678
880,0000;714,2027
881,0000;718,2815
882,0000;722,3042
883,0000;726,3081
884,0000;730,2560
885,0000;734,1664
886,0000;738,394
887,0000;741,8563
888,0000;745,3551
889,0000;748,4048
890,0000;751,429
891,0000;753,2133
892,0000;754,9533
893,0000;756,2631
894,0000;757,1424
895,0000;757,5540
896,0000;757,5540
897,0000;757,1050
898,0000;756,2443
899,0000;755,4772
900,0000;754,9908
901,0000;754,7850
902,0000;754,8785
903,0000;755,2340
904,0000;755,8701
905,0000;756,8056
906,0000;758,31
907,0000;759,4812
908,0000;761,2587
909,0000;763,3168
910,0000;765,4871
911,0000;767,4891
912,0000;769,3227
913,0000;770,9505
914,0000;772,3725
915,0000;773,6260
916,0000;774,6925
917,0000;775,5719
918,0000;776,2642
919,0000;776,7506
920,0000;776,8816
921,0000;776,3951
922,0000;775,3287
923,0000;773,6635
924,0000;771,3808
925,0000;768,5182
926,0000;765,381
927,0000;760,9780
928,0000;756,3940
929,0000;751,4920
930,0000;746,3093
931,0000;740,8272
932,0000;735,645
