nm,var1,var2
660,0000;310,5133
661,0000;306,3485
662,0000;305,7957
663,0000;306,4775
664,0000;306,5696
665,0000;306,905
666,0000;305,217
667,0000;303,3816
668,0000;301,1702
669,0000;298,3692
670,0000;295,2179
671,0000;292,667
672,0000;288,9708
673,0000;285,9118
674,0000;282,8896
675,0000;279,9042
676,0000;276,9557
677,0000;274,1362
678,0000;271,7774
679,0000;269,9530
680,0000;268,6262
681,0000;267,8522
682,0000;267,5758
683,0000;267,8338
684,0000;268,2577
685,0000;268,4972
686,0000;268,5525
687,0000;268,4419
688,0000;268,1471
689,0000;267,6864
690,0000;267,1151
691,0000;266,9861
692,0000;267,4100
693,0000;268,3498
694,0000;269,8425
695,0000;271,8696
696,0000;274,4311
697,0000;277,5270
698,0000;280,5492
699,0000;283,2213
700,0000;285,5616
701,0000;287,5519
702,0000;289,1920
703,0000;290,5004
704,0000;291,6429
705,0000;293,2093
706,0000;295,2732
707,0000;297,8163
708,0000;300,8385
709,0000;304,3399
710,0000;308,3387
711,0000;312,8168
712,0000;317,6265
713,0000;322,2704
714,0000;326,7115
715,0000;330,9316
716,0000;334,9489
717,0000;338,7451
718,0000;342,3386
719,0000;345,7109
720,0000;348,8805
721,0000;351,8475
722,0000;354,6485
723,0000;357,6707
724,0000;360,9509
725,0000;364,5076
726,0000;368,3406
727,0000;372,4501
728,0000;376,8175
729,0000;381,4798
730,0000;386,4001
731,0000;391,6153
732,0000;397,1621
733,0000;403,223
734,0000;409,1957
735,0000;415,7008
736,0000;422,5376
737,0000;429,6877
738,0000;437,1695
739,0000;444,9646
740,0000;453,729
741,0000;461,1444
742,0000;469,685
743,0000;476,8267
744,0000;484,4191
745,0000;491,8641
746,0000;499,1432
747,0000;506,2748
748,0000;513,2406
749,0000;520,590
750,0000;526,6931
751,0000;533,1983
752,0000;539,7034
753,0000;546,2269
754,0000;552,7689
755,0000;559,3661
756,0000;565,9818
757,0000;572,6159
758,0000;579,2869
759,0000;585,9947
760,0000;592,7210
761,0000;599,4288
762,0000;605,9892
763,0000;612,4022
764,0000;618,7046
765,0000;624,8596
766,0000;630,8855
767,0000;636,7825
768,0000;642,5321
769,0000;648,1527
770,0000;653,6442
771,0000;659,68
772,0000;664,2588
773,0000;669,4187
774,0000;674,4864
775,0000;679,4436
776,0000;684,3086
777,0000;689,630
778,0000;693,7253
779,0000;698,2955
780,0000;702,7551
781,0000;707,1225
782,0000;711,4347
783,0000;715,7837
784,0000;720,2065
785,0000;724,6661
786,0000;729,1810
787,0000;733,7327
788,0000;738,3397
789,0000;743,20
790,0000;747,7196
791,0000;752,4925
792,0000;757,3022
793,0000;762,1304
794,0000;767,138
795,0000;771,9157
796,0000;776,8728
797,0000;781,8484
798,0000;786,8424
799,0000;791,8917
800,0000;796,9595
801,0000;802,640
802,0000;807,2055
803,0000;812,3469
804,0000;817,5068
805,0000;822,6482
806,0000;827,8081
807,0000;832,9679
808,0000;838,1278
809,0000;843,2877
810,0000;848,4660
811,0000;853,6258
812,0000;858,8225
813,0000;864,1483
814,0000;869,7135
815,0000;875,4631
816,0000;881,4522
817,0000;887,6441
818,0000;894,571
819,0000;900,6727
820,0000;907,5096
821,0000;914,5675
822,0000;921,6992
823,0000;928,6650
824,0000;935,4650
825,0000;942,806
826,0000;948,5305
827,0000;954,7960
828,0000;960,8957
829,0000;966,8111
830,0000;972,5607
831,0000;978,1260
832,0000;983,5070
833,0000;988,7406
834,0000;993,7899
